"No.","Location","Detail","Internet ID","Service","Bandwidth (Mbps)","Customer Name","Monthly Cost","Payment Method"
"27","Unit Nunukan","Mess crew","162505203067","Indihome","10","PT ASI Pudjiastuti A","263350","Virtual Account"
"28","Yogyakarta","Osea, Yogya","141144106237","Indihome","100","PT ASI Pudjiastuti A","656290","Virtual Account"
"29","Kupang","Mess Pilot","172502217787","Indihome","20","Mesak Karel","346600","Virtual Account"
"30","Kupang","Mes Crew","172503203050","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
"31","Pangandaran","Astinet Server","1437863115","Astinet","80","PT ASI Pudjiastuti A","10000000","Virtual Account"
"32","Pangandaran","Astinet Server","1213337608","Astinet","40","PT ASI Pudjiastuti A","5170000","Virtual Account"
"33","Pangandaran","Rumah Ibu","1253575045","WMS","50","PT ASI Pudjiastuti A","807500","Virtual Account"
"34","Pangandaran","Armand","1253577168","WMS","20","PT ASI Pudjiastuti A","399500","Virtual Account"
"35","Pangandaran","Armand","1253578345","WMS","20","PT ASI Pudjiastuti A","399500","Virtual Account"
"36","Pangandaran","Armand","1253578429","WMS","20","PT ASI Pudjiastuti A","399500","Virtual Account"
"37","Pangandaran","Resto","1258604286","WMS","20","PT ASI Pudjiastuti A","399500","Virtual Account"
"38","Pangandaran","Indihome Server","131430100800","Indihome","100","PT ASI Pudjiastuti A","1917891","Virtual Account"
"39","Nusawiru","Nusawiru Tiketing","131430100406","Indihome","50","PT ASI Pudjiastuti A","374070","Credit Card"
"40","Pangandaran","Hotel Alvy","131430101152","Indihome","100","PT ASI Pudjiastuti A","1934841","Credit Card"
"41","Padang","Mess Padang Baru","111407170200","Indihome","30","PT ASI Pudjiastuti A","280000","Virtual Account"
"42","Banjarmasin","Mess Banjarmasin","161204227615","Indihome","30","PT ASI Pudjiastuti A","310800","Virtual Account"
"43","Pangandaran","Rumah Ibu (BJB)","131430113329","Indihome","30","PT ASI Pudjiastuti A","310800","Virtual Account"
"44","Pangandaran","Rumah Ibu (Buhaji)","131430113590","Indihome","30","PT ASI Pudjiastuti A","250000","Virtual Account"
"45","Banjarmasin","Mess Banjarmasin 2","161204213784","Indihome","20","PT ASI Pudjiastuti A","295000","Virtual Account"
"46","Pangandaran","Mess Parapat","131430114331","Indibiz","50","PT ASI Pudjiastuti A","357000","Virtual Account"
"47","Sentani","Mess Sentani Baru","172913222363","Indibiz","75","PT ASI Pudjiastuti A","576090","Virtual Account"
"48","Sentani","Hanggar Sentani Baru","172913222361","Indibiz","75","PT ASI Pudjiastuti A","576090","Virtual Account"
"49","Medan","Mess Crew","111220108929","Indibiz","50","PT ASI Pudjiastuti A","409000","Virtual Account"
"50","Yogyakarta","Rumah Baru Yogya","146144116195","Indibiz","100","PT ASI Pudjiastuti A","619000","Virtual Account"
"51","Pangandaran","Rumah Baru L1","131430112841","Indibiz","300","PT ASI Pudjiastuti A","1663890","Virtual Account"
"52","Pangandaran","Rumah Baru L2","131430114385","Indibiz","300","PT ASI Pudjiastuti A","1663890","Virtual Account"
"53","Manado","Mess","172303497998","Indibiz","50","PT ASI Pudjiastuti A","439000","Virtual Account"
"54","Resto Baru","Resto Baru","131430116504","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"55","Surabaya","Mess","152306217405","Indihome","30","Encik muhammad idham","","Manual Transfer"
"56","Sorong","Mess Crew","172905818610","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"57","Kepi","Mess","172929800123","Indihome","20","Jacob Johanis","","Manual Transfer"
"58","Sorong","Mess Pilot","172905219326","Indihome","30","Marselino Timoti","","Manual Transfer"
"59","Yogyakarta","Kamar anak","146144117144","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"60","Halim","Office Baru","121112246884","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"61","Pangandaran","Flying School","131430115828","Indibiz","300","PT ASI Pudjiastuti A","","Virtual Account"
"62","Tarakan","Mess","162501340974","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"63","Malinau","Mess Crew","162503920066","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"64","Semarang","Mess Pilot","141420145983","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"65","Medan","Mess Pilot","1597243535","CMN","200","PT ASI Pudjiastuti A","499500","Manual Transfer"
"66","Pangandaran","BS Terminal","131430119173","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
