No,Kategori Inventaris,Asset Name,Code,Serial Number,User,Username,Department,Condition,Date,Purchase Date,Updated By,Note
1,Laptop,MacBook Pro 13.3 5G/8C CPU/10C GPU/24GB/1TB-ITP,002-B/III/2023-1,KYT76W62Q4,Unknown,,Unknown,Good,2023-05-20,,IT Administrator,
2,Laptop,MacBook Air 2022 13.6 STL/8C GPU/8GB/256GB ITP,006-B/III/2023,NFJDGVX42C,Unknown,,Unknown,Good,2023-05-21,,IT Administrator,
3,Laptop,Dell XPS 13 7390 Touch I5 10210U 8GB 256ssd W10 13.3FHD,008-B/V/2021,D20Z8Y2,Unknown,,Unknown,Good,2023-05-22,2021-05-24,IT Administrator,Converter
4,Laptop,Dell XPS 13 7390 Touch I5 10210U 8GB 256ssd W10 13.3FHD,009-B/V/2021,H7WQYY2,Unknown,,Unknown,Good,2023-05-23,2021-05-24,IT Administrator,KEYBOARD DAN TOUCHPAD RUSAK
5,Laptop,Dell Inspiron 15 3521 - i3 - 4GB - Black,017-B/III/2023,BW551X1,Unknown,,Unknown,Good,2023-05-24,,IT Administrator,
"6,Laptop,""Macbook Pro 2020 13"""""",021-B/III/2023,C02DQ676ML85,Unknown,,Unknown,Good,2023-05-25,,IT Administrator,"
7,Laptop,Macbook Pro 13 Retina - i7 - 16GB,022-B/III/2023,C02MK1Q6FH05,Unknown,,Unknown,Good,2023-05-26,,IT Administrator,
8,Laptop,Dell Inspiron 3501 i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,019-B/VI/2021,H7XL0H3,Unknown,,Unknown,Good,2023-05-27,,IT Administrator,
9,Laptop,Dell Inspiron 3501 i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,020-B/VI/2021,2DX5KA01,Unknown,,Unknown,Good,2023-05-28,,IT Administrator,
10,Laptop,Dell Inspiron 3501 i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,003-B/VI/2022,F8XL0H3,Unknown,,Unknown,Good,2023-05-29,,IT Administrator,
11,Laptop,Macbook Pro 2019 - i7 RAM 16,005-B/VI/2022,C02DWF0CMD6M,Unknown,,Unknown,Good,2023-05-30,,IT Administrator,
12,Laptop,Dell XPS 13 7390 - I5 11210 8GB 256ssd W10 13.3FHD Touch Win,006-B/VI/2022,BX611J3,Unknown,,Unknown,Good,2023-05-31,2021-11-22,IT Administrator,
13,Laptop,Dell XPS 13 7390 - I5 11210 8GB 256ssd W10 13.3FHD Touch Win,010-B/VI/2022,3PKP0J3,Unknown,,Unknown,Good,2023-06-01,2021-11-22,IT Administrator,
14,Laptop,HP Pavilion 14-dv0517TX - RAM 16 GB,011-B/VI/2022,5CD1379VHX,Unknown,,Unknown,Good,2023-06-02,2022-02-11,IT Administrator,
15,Laptop,HP Pavilion 14-dv0517TX - RAM 16 GB,013-B/VI/2022,5CD1379VDD,Unknown,,Unknown,Good,2023-06-03,2022-02-11,IT Administrator,EX HILMAN TRUSWIKA
16,Printer,Epson L360,015-B/V/2023,X3GW517213,Unknown,,Unknown,Good,2026-08-24,,IT Administrator,
17,PC,Dell OptiPlex 3000,IT-PC-001,DL3000-8891,Unknown,,IT,Good,2026-09-14,2023-06-20,IT Administrator,Workstation admin server
18,Phone,Samsung Galaxy A54,IT-PH-001,R58T99887KL,Unknown,,Marketing,Good,2026-09-14,2024-01-10,IT Administrator,Untuk keperluan campaign
19,Printer,Epson L3250,IT-PR-001,X7Y2Z00012,Unknown,,Operations,Under Repair,2026-09-14,2021-11-05,IT Administrator,Sedang diperbaiki di service center
20,Phone,Xiaomi Redmi Note 12,IT-PH-002,XM12-445902,Unknown,,HR,Good,2026-09-14,2024-03-02,IT Administrator,Baru
21,PC,Lenovo ThinkCentre M70q,IT-PC-002,TC70Q-3391,Unknown,,Finance,Good,2026-09-14,2023-09-12,IT Administrator,Untuk input jurnal bulanan
22,Phone,Oppo A78,IT-PH-003,OPA78-7781,Unknown,,Operations > Base Padang > Unit Gunungsitoli,Fair,2026-09-14,2023-11-20,IT Administrator,Perangkat unit Gunung Sitoli
23,Phone,Samsung A04,IT-HP-009,QWERTY1234,Unknown,,Operations > Base Padang > Unit Tello,Good,2026-09-14,,IT Administrator,
24,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,017-B/VI/2022,5GLGYH3,Unknown,,Unknown,Good,2023-06-04,2022-09-02,IT Administrator,EX GOJO
25,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,026-B/III/2023,5NVJHK3,Unknown,,Unknown,Under Repair,2023-06-05,2023-06-24,IT Administrator,
26,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,018-B/VI/2022,DXQDYH3,Unknown,,Unknown,Good,2023-06-06,2022-09-02,IT Administrator,
27,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,019-B/VI/2022,CNMCYH3,Unknown,,Unknown,Good,2023-06-07,2022-09-02,IT Administrator,
28,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,022-B/VI/2022,G37GYH3,Unknown,,Unknown,Good,2023-06-08,2022-10-14,IT Administrator,
29,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,023-B/VI/2022,HK2CYH3,Unknown,,Unknown,Good,2023-06-09,2022-10-14,IT Administrator,
30,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,025-B/VI/2022,8VBBYH3,Unknown,,Unknown,Good,2023-06-10,2022-10-14,IT Administrator,manokwari-laptop-01@outlook.com / susiair312
31,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,026-B/VI/2022,9HCDYH3,Unknown,,Unknown,Good,2023-06-11,2022-10-14,IT Administrator,
32,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,030-B/VI/2022,58KDYH3,Unknown,,Unknown,Good,2023-06-12,2022-11-24,IT Administrator,CAMERA AND PORT POWER
33,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,031-B/VI/2022,7KLGYH3,Unknown,,Unknown,Good,2023-06-13,2022-11-24,IT Administrator,
34,Laptop,Dell Inspiron 15 Gen 11 - RAM 16GB - SSD 512 - 3000 - Black,004-B/V/2022,7FQL0H3,Unknown,,Unknown,Good,2023-06-14,,IT Administrator,
35,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,008-B/III/2023,1YVTHK3,Unknown,,Unknown,Good,2023-06-15,2023-05-13,IT Administrator,
36,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,010-B/III/2023,7P0VHK3,Unknown,,Unknown,Good,2023-06-16,2023-05-13,IT Administrator,
37,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,011-B/III/2023,J2CVHK3,Unknown,,Unknown,Good,2023-06-17,2023-05-13,IT Administrator,
38,Laptop,Macbook Pro 2021 - M1 Pro - 16GB,013-B/III/2023,JY9W0W424V,Unknown,,Unknown,Good,2023-06-18,,IT Administrator,Laptop direct from Ibu Susi
39,Laptop,Dell XPS 13 7390 - I5 10210 8GB 256ssd W10 13.3FHD Touch Win,003-B/XI/2020,G4XX1Z2,Unknown,,Unknown,Good,2023-06-19,2021-11-22,IT Administrator,
40,Laptop,LAPTOP Dell XPS 13 7390 - i5-10210U - 8GB,004-B/XI/2020,80C7YY2,Unknown,,Unknown,Good,2023-06-20,2021-11-22,IT Administrator,
41,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,012-B/III/2023,HJJTHK3,Unknown,,Unknown,Good,2023-06-21,2023-05-13,IT Administrator,
42,Laptop,Laptop Dell Latitude 15 3510 I3 10110 4GB 1TB W10 15.6 - BLACK,012-C/VI/2021,G9W5863,Unknown,,Unknown,Good,2023-06-22,2021-06-22,IT Administrator,
43,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,025-B/III/2023,47Q1ZK3,Unknown,,Unknown,Good,2023-06-23,2023-06-24,IT Administrator,
44,Laptop,Dell Vostro 3405 AMD R3 - 512GB - 8GB RAM,027-B/III/2023,92ZJNJ3,Unknown,,Unknown,Good,2023-06-24,2023-07-27,IT Administrator,
45,Laptop,Dell Vostro 3405 AMD R3 - 512GB - 8GB RAM,028-B/III/2023,B56KNJ3,Unknown,,Unknown,Good,2023-06-25,2023-07-27,IT Administrator,
46,Laptop,Dell Vostro 3405 AMD R3 - 512GB - 8GB RAM,029-B/III/2023,J87KNJ3,Unknown,,Unknown,Good,2023-06-26,2023-07-27,IT Administrator,
47,Laptop,Macbook Air 2019,020-B/III/2023,FVFXPID9JK78,Unknown,,Unknown,Good,2023-06-27,,IT Administrator,EX - ERNESTO CHIEF PILOT
48,Laptop,Dell Vostro 3405 AMD R3 - 1TB - 8GB RAM,001-B/XI/2023,G3SLZK3,Unknown,,Unknown,Good,2023-06-28,2023-11-11,IT Administrator,EX CHARTER
49,Laptop,Dell Vostro 3405 AMD R3 - 1TB - 8GB RAM,003-B/XI/2023,CHYSZK3,Unknown,,Unknown,Good,2023-06-29,2023-11-11,IT Administrator,
50,Laptop,Dell Vostro 3405 AMD R3 - 1TB - 8GB RAM,004-B/XI/2023,C63GZK3,Unknown,,Unknown,Good,2023-06-30,2023-11-11,IT Administrator,Broken Charger
"51,Laptop,""Macbook Pro 2019 13"""" Space Gray - 512 GB - 8GB RAM"",007-A/VI/2024,C02ZV20VLVDD,Unknown,,Unknown,Good,2023-07-01,,IT Administrator,EX MEDIA SARA"
52,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,001-A/I/2024,D2DFZK3,Unknown,,Unknown,Good,2023-07-02,2024-01-01,IT Administrator,
53,Laptop,Dell XPS 13 9315 - i7 1250 - 16GB RAM,002-B/VII/2023,31W75X3,Unknown,,Unknown,Good,2023-07-03,2023-07-27,IT Administrator,
54,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,003-A/I/2024,6DRLZK3,Unknown,,Unknown,Good,2023-07-04,2024-01-01,IT Administrator,
55,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,005-A/I/2024,7TRLZK3,Unknown,,Unknown,Good,2023-07-05,2024-01-01,IT Administrator,
56,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,009-A/I/2024,68DFZK3,Unknown,,Unknown,Good,2023-07-06,2024-01-01,IT Administrator,
57,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,008-A/I/2024,87T7ZK3,Unknown,,Unknown,Good,2023-07-07,2024-01-01,IT Administrator,
58,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,010-A/I/2024,6RRLZK3,Unknown,,Unknown,Good,2023-07-08,2024-01-01,IT Administrator,
59,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,001-A/III/2024,9Z2GZK3,Unknown,,Unknown,Good,2023-07-09,2024-03-15,IT Administrator,
60,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,002-A/III/2024,243GZK3,Unknown,,Unknown,Good,2023-07-10,2024-03-15,IT Administrator,
61,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,003-A/III/2024,DBDFZK3,Unknown,,Unknown,Under Repair,2023-07-11,2024-03-15,IT Administrator,Pink Screen but still works
62,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,004-A/III/2024,F38LZK3,Unknown,,Unknown,Good,2023-07-12,2024-03-15,IT Administrator,
63,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,005-A/III/2024,6RKFZK3,Unknown,,Unknown,Good,2023-07-13,2024-03-15,IT Administrator,
64,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,008-A/III/2024,HVKFZK3,Unknown,,Unknown,Good,2023-07-14,2024-03-15,IT Administrator,
65,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,004-A/I/2024,JT8GZK3,Unknown,,Unknown,Good,2023-07-15,2024-01-01,IT Administrator,EX ALFARIZ LEGAL
66,Laptop,Dell Vostro 3405 AMD R3 - 512 - 8GB RAM,009-A/III/2024,9KRLZK3,Unknown,,Unknown,Good,2023-07-16,2024-03-21,IT Administrator,
67,Laptop,Dell Vostro 3405 AMD R3 - 512 - 8GB RAM,010-A/III/2024,F0WCJK3,Unknown,,Unknown,Good,2023-07-17,2024-03-21,IT Administrator,
68,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,007-A/III/2024,GXKFZK3,Unknown,,Unknown,Good,2023-07-18,2024-03-22,IT Administrator,
69,Laptop,Dell Vostro 3405 AMD R3 - 512 - 8GB RAM,011-A/III/2026,31TSZK3,Unknown,,Unknown,Good,2023-07-19,2024-03-22,IT Administrator,
70,Laptop,Dell Vostro 3405 AMD R3 - 512GB - 8GB RAM,002-A/IV/2024,7F3TZK3,Unknown,,Unknown,Good,2023-07-20,2024-06-04,IT Administrator,
71,Laptop,Asus Vivobook GO 14 - R3 - 512GB - 8GB RAM,001-A/VI/2024,RCN0CV09914951A,Unknown,,Unknown,Good,2023-07-21,2024-03-06,IT Administrator,
72,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,003-A/VI/2024,PF4LB2DT,Unknown,,Unknown,Good,2023-07-22,2024-06-13,IT Administrator,
73,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,004-A/VI/2024,PF4H20RY,Unknown,,Unknown,Under Repair,2023-07-23,2024-06-13,IT Administrator,
74,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,002-A/VI/2024,PF4HEQ19,Unknown,,Unknown,Good,2023-07-24,2026-07-04,IT Administrator,
75,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,009-A/VI/2024,PF4K6X90,Unknown,,Unknown,Good,2023-07-25,2024-06-27,IT Administrator,
76,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,005-A/VI/2024,PF4LB6MP,Unknown,,Unknown,Good,2023-07-26,2024-06-13,IT Administrator,
77,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,008-A/VI/2024,PF4KKNPF,Unknown,,Unknown,Good,2023-07-27,2024-06-27,IT Administrator,
78,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,006-A/VI/2024,PF4HEQ4G,Unknown,,Unknown,Good,2023-07-28,2024-06-13,IT Administrator,
79,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,001-A/VII/2024,PF4YY7PD,Unknown,,Unknown,Good,2023-07-29,2024-07-25,IT Administrator,
80,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,002-A/VII/2024,PF4YYC5E,Unknown,,Unknown,Good,2023-07-30,2024-07-25,IT Administrator,
81,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,003-A/VII/2024,PF4YXW9W,Unknown,,Unknown,Good,2023-07-31,2024-07-25,IT Administrator,
82,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,001-A/VIII/2024,PF4Z31KT,Unknown,,Unknown,Good,2023-08-01,2024-08-28,IT Administrator,
83,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,002-A/VIII/2024,PF4Z6KNK,Unknown,,Unknown,Good,2023-08-02,2024-08-28,IT Administrator,
84,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,003-A/VIII/2024,PF4Z2J15,Unknown,,Unknown,Good,2023-08-03,2024-08-28,IT Administrator,
85,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,004-A/VIII/2024,PF4Z2DEZ,Unknown,,Unknown,Good,2023-08-04,2024-08-28,IT Administrator,AAQILAH MEUTIA ALIIFA
86,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,005-A/VIII/2024,PF4Z0WE9,Unknown,,Unknown,Good,2023-08-05,2024-08-28,IT Administrator,
87,Laptop,Dell Inspiron i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,018-B/VI/2021,3C9JPH3,Unknown,,Unknown,Good,2023-08-06,,IT Administrator,
88,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,001-A/X/2024,PF4XR949,Unknown,,Unknown,Good,2023-08-07,2024-10-31,IT Administrator,
89,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,002-A/X/2024,PF4W4489,Unknown,,Unknown,Good,2023-08-08,2024-10-31,IT Administrator,
90,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,001-A/XI/2024,PF4XHPPH,Unknown,,Unknown,Good,2023-08-09,2024-11-07,IT Administrator,Beli baru di ternate
91,Laptop,Dell XPS 13 7390 Touch I5 10210U 8GB 256ssd W10 13.3FHD,010-B/V/2021,HWK4YY2,Unknown,,Unknown,Good,2023-08-10,2021-05-24,IT Administrator,REPAIRED
92,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,009-B/III/2023,FDJTHK3,Unknown,,Unknown,Good,2023-08-11,2023-05-13,IT Administrator,LAPTOP EX WIDODO
93,Laptop,Dell Vostro 3405 AMD R3 - 256 - 16GB RAM,007-A/I/2024,CRKFZK3,Unknown,,Unknown,Good,2023-08-12,2024-01-01,IT Administrator,PAKAI LCD BEKAS BANDUNG
94,Laptop,Lenovo Ideapad Slim 5 14IMH9 - 512 - 16GB,002-A/I/2025,MP2HQ1R1,Unknown,,Unknown,Good,2023-08-13,2025-01-25,IT Administrator,
95,Laptop,Lenovo Ideapad Slim 5 14IMH9 - 512 - 16GB,001-A/II/2025,MP2HQ1RM,Unknown,,Unknown,Good,2023-08-14,2025-01-25,IT Administrator,
96,Laptop,Lenovo Ideapad Slim 3 i3-1215U - 512 - 8GB,002-A/II/2025,PF5165B0,Unknown,,Unknown,Good,2023-08-15,2025-02-01,IT Administrator,
