ID,Nama,Induk,Boleh Admin
43,Unit Aceh,Operations > Base Medan,
100,All Ops Aceh,Operations > Base Medan > Unit Aceh,
44,Unit Simelue,Operations > Base Medan,
96,All Ops Simulue,Operations > Base Medan > Unit Simelue,
38,Base Merauke,Operations,
122,Admin Merauke,Operations > Base Merauke,
135,BC Merauke,Operations > Base Merauke,
81,Ticketing Merauke,Operations > Base Merauke,
39,Unit Kepi,Operations > Base Merauke,
109,Ticketing Kepi,Operations > Base Merauke > Unit Kepi,
19,Base Nusawiru,Operations,
9,Base Padang,Operations,
133,Admin Padang,Operations > Base Padang,
103,BC Padang,Operations > Base Padang,
104,Ticketing Padang,Operations > Base Padang,
11,Unit Gunungsitoli,Operations > Base Padang,
90,All Ops Gunungsitoli,Operations > Base Padang > Unit Gunungsitoli,
10,Unit Tello,Operations > Base Padang,
89,GC Tello,Operations > Base Padang > Unit Tello,
40,Base Sentani,Operations,
99,Admin Sentani,Operations > Base Sentani,
66,BC Sentani,Operations > Base Sentani,
107,Ticketing Sentani,Operations > Base Sentani,
34,Base Sorong,Operations,
151,Admin Sorong,Operations > Base Sorong,
144,BC Sorong,Operations > Base Sorong,
20,Base Surabaya,Operations,
132,BC Surabaya,Operations > Base Surabaya,
74,Ticketing Surabaya,Operations > Base Surabaya,
23,Base Tarakan,Operations,
88,BC Tarakan,Operations > Base Tarakan,
102,Ticketing Tarakan,Operations > Base Tarakan,
25,Unit Long Bawan,Operations > Base Tarakan,
26,Unit Nunukan,Operations > Base Tarakan,
93,All Ops Nunukan,Operations > Base Tarakan > Unit Nunukan,
24,Unit Tanjungselor,Operations > Base Tarakan,
131,All Ops Tanjung Selor,Operations > Base Tarakan > Unit Tanjungselor,
29,Base Ternate,Operations,
114,Admin Ternate,Operations > Base Ternate,
130,BC Ternate,Operations > Base Ternate,
41,Base Wamena,Operations,
108,BC Wamena,Operations > Base Wamena,
45,Base Yogyakarta,Operations,
80,Ticketing Yogyakarta,Operations > Base Yogyakarta,
46,Unit Semarang,Operations > Base Yogyakarta,
128,BC Semarang,Operations > Base Yogyakarta > Unit Semarang,
138,Call Center,Operations,
71,Chief Operations,Operations,
125,Chief Pilot,Operations,
65,Flight Following,Operations,
105,OCC,Operations,
149,PA to Director,,
152,PA to Managing Director,,
56,PA to Owner,,
87,Perintis,,
86,PIC General Affairs,,
72,PIC Legal,,
57,PIC Media,,
155,SES,,
169,Principal SES,SES,
156,SFS,,
168,Finance Flyingschool,SFS,
161,Flight Instructor,SFS,
167,Instructor SFS,SFS,
60,SQS,,
157,Training,,
164,Admin Training,Training,
69,Travel,,
12,Unknown,,
172,Belum Ada Posisi,Unknown,
54,DKM Mesjid,Unknown,
